model,tau_steps,tau_minutes,precision,recall,f1,f2
lstm_baseline,1,5,0.0104,0.0036,0.0054,0.0042
lstm_baseline,2,10,0.0104,0.0036,0.0054,0.0042
lstm_baseline,3,15,0.0104,0.0036,0.0054,0.0042
lstm_baseline,4,20,0.0104,0.0036,0.0054,0.0042
lstm_baseline,5,25,0.0194,0.0074,0.0106,0.0084
lstm_baseline,6,30,0.0667,0.0166,0.0253,0.0192
patchtst_baseline,1,5,0.0176,0.0292,0.0212,0.0251
patchtst_baseline,2,10,0.0339,0.0568,0.0415,0.0491
patchtst_baseline,3,15,0.0482,0.0888,0.0609,0.0742
patchtst_baseline,4,20,0.0569,0.1088,0.0729,0.0899
patchtst_baseline,5,25,0.0737,0.14,0.0938,0.1155
patchtst_baseline,6,30,0.0912,0.1803,0.1177,0.1467
lstm_bounded_lag,1,5,0.0079,0.0048,0.006,0.0052
lstm_bounded_lag,2,10,0.0155,0.0107,0.0126,0.0113
lstm_bounded_lag,3,15,0.0175,0.0119,0.0141,0.0127
lstm_bounded_lag,4,20,0.0175,0.0119,0.0141,0.0127
lstm_bounded_lag,5,25,0.0175,0.0119,0.0141,0.0127
lstm_bounded_lag,6,30,0.0369,0.0185,0.0226,0.0198
patchtst_bounded_lag,1,5,0.028,0.0381,0.0311,0.0346
patchtst_bounded_lag,2,10,0.048,0.0782,0.0574,0.0674
patchtst_bounded_lag,3,15,0.0547,0.0955,0.0665,0.0797
patchtst_bounded_lag,4,20,0.067,0.125,0.0837,0.1025
patchtst_bounded_lag,5,25,0.092,0.1923,0.117,0.148
patchtst_bounded_lag,6,30,0.1082,0.2271,0.1389,0.1759
lstm_dtw,1,5,0.0028,0.0012,0.0017,0.0014
lstm_dtw,2,10,0.0083,0.0036,0.0051,0.0041
lstm_dtw,3,15,0.0389,0.0088,0.0137,0.0102
lstm_dtw,4,20,0.0389,0.0088,0.0137,0.0102
lstm_dtw,5,25,0.0389,0.0088,0.0137,0.0102
lstm_dtw,6,30,0.0574,0.0154,0.0218,0.0173
patchtst_dtw,1,5,0.0429,0.0862,0.0435,0.0568
patchtst_dtw,2,10,0.0536,0.1131,0.0577,0.0757
patchtst_dtw,3,15,0.0564,0.1288,0.0624,0.0838
patchtst_dtw,4,20,0.0917,0.1761,0.0977,0.1235
patchtst_dtw,5,25,0.1033,0.2231,0.114,0.1477
patchtst_dtw,6,30,0.1108,0.2453,0.1247,0.1627
lstm_multistep,1,5,0.0037,0.0024,0.0029,0.0026
lstm_multistep,2,10,0.0109,0.0095,0.0098,0.0095
lstm_multistep,3,15,0.0109,0.0095,0.0098,0.0095
lstm_multistep,4,20,0.0109,0.0095,0.0098,0.0095
lstm_multistep,5,25,0.0387,0.0122,0.0149,0.0129
lstm_multistep,6,30,0.0509,0.0201,0.0234,0.0209
patchtst_multistep,1,5,0.0209,0.0386,0.0253,0.0306
patchtst_multistep,2,10,0.0462,0.072,0.0533,0.0611
patchtst_multistep,3,15,0.0596,0.1032,0.0716,0.0851
patchtst_multistep,4,20,0.0662,0.1153,0.0801,0.0955
patchtst_multistep,5,25,0.0911,0.185,0.1143,0.1426
patchtst_multistep,6,30,0.1101,0.2196,0.1377,0.171
